MASS (MeV)   | SCALE      | k    | TOPOLOGY        | LIFETIME (s) | STATUS
1769.98      | LEPTON     | 17   | Perfect (0)     | STABLE       | CONFIRMED [Tau]
1776.18      | MESON      | 25   | Sphere (+2.0)   | 2.3e-16      | CONFIRMED [Tau]
1776.44      | LEPTON     | 17   | Spinor (+0.5)   | 6.2e-12      | CONFIRMED [Tau]
1782.89      | LEPTON     | 17   | Vector (+1.0)   | 3.1e-12      | CONFIRMED [Tau]
1794.08      | MESON      | 26   | Sphere (-2.0)   | 1.8e-16      | CONFIRMED [Tau]
1795.81      | LEPTON     | 17   | Sphere (+2.0)   | 1.6e-12      | CONFIRMED [Tau]
1820.66      | MESON      | 26   | Perfect (0)     | STABLE       | PREDICTION (Stable)
1846.74      | LEPTON     | 18   | Sphere (-2.0)   | 1.2e-12      | CONFIRMED [D+]
1847.23      | MESON      | 26   | Sphere (+2.0)   | 1.9e-16      | CONFIRMED [D+]
1849.12      | BARYON     | 12   | Sphere (-2.0)   | 8.8e-12      | CONFIRMED [D+]
1860.42      | LEPTON     | 18   | Vector (-1.0)   | 2.3e-12      | CONFIRMED [D+]
1862.82      | BARYON     | 12   | Vector (-1.0)   | 1.8e-11      | CONFIRMED [D+]
1863.09      | MESON      | 27   | Sphere (-2.0)   | 1.5e-16      | CONFIRMED [D+]
1867.26      | LEPTON     | 18   | Spinor (-0.5)   | 4.6e-12      | CONFIRMED [D+]
1869.66      | BARYON     | 12   | Spinor (-0.5)   | 3.5e-11      | CONFIRMED [D+]
1874.09      | LEPTON     | 18   | Perfect (0)     | STABLE       | CONFIRMED [D+]
1876.51      | BARYON     | 12   | Perfect (0)     | STABLE       | CONFIRMED [D+]
1876.88      | MESON      | 27   | Vector (-1.0)   | 3.1e-16      | CONFIRMED [D+]
1880.93      | LEPTON     | 18   | Spinor (+0.5)   | 4.6e-12      | CONFIRMED [D+]
1883.36      | BARYON     | 12   | Spinor (+0.5)   | 3.5e-11      | CONFIRMED [D+]
1883.78      | MESON      | 27   | Spinor (-0.5)   | 6.1e-16      | CONFIRMED [D+]
1887.77      | LEPTON     | 18   | Vector (+1.0)   | 2.3e-12      | CONFIRMED [D+]
1890.20      | BARYON     | 12   | Vector (+1.0)   | 1.8e-11      | CONFIRMED [D+]
1890.68      | MESON      | 27   | Perfect (0)     | STABLE       | CONFIRMED [D+]
1897.58      | MESON      | 27   | Spinor (+0.5)   | 6.1e-16      | CONFIRMED [D+]
1901.45      | LEPTON     | 18   | Sphere (+2.0)   | 1.2e-12      | PREDICTION (Stable)
1903.90      | BARYON     | 12   | Sphere (+2.0)   | 9.0e-12      | PREDICTION (Stable)
1949.34      | LEPTON     | 19   | Sphere (-2.0)   | 8.9e-13      | PREDICTION (Resonance)
1960.71      | MESON      | 28   | Perfect (0)     | STABLE       | PREDICTION (Stable)
1963.77      | LEPTON     | 19   | Vector (-1.0)   | 1.8e-12      | PREDICTION (Stable)
1970.99      | LEPTON     | 19   | Spinor (-0.5)   | 3.5e-12      | PREDICTION (Stable)
1978.21      | LEPTON     | 19   | Perfect (0)     | STABLE       | PREDICTION (Stable)
1985.43      | LEPTON     | 19   | Spinor (+0.5)   | 3.5e-12      | PREDICTION (Stable)
1992.65      | LEPTON     | 19   | Vector (+1.0)   | 1.8e-12      | PREDICTION (Stable)
2001.09      | MESON      | 29   | Sphere (-2.0)   | 1.1e-16      | PREDICTION (Resonance)
2003.22      | BARYON     | 13   | Sphere (-2.0)   | 5.9e-12      | PREDICTION (Stable)
2007.08      | LEPTON     | 19   | Sphere (+2.0)   | 9.0e-13      | PREDICTION (Resonance)
2015.91      | MESON      | 29   | Vector (-1.0)   | 2.1e-16      | PREDICTION (Resonance)
2018.05      | BARYON     | 13   | Vector (-1.0)   | 1.2e-11      | PREDICTION (Stable)
2023.32      | MESON      | 29   | Spinor (-0.5)   | 4.3e-16      | PREDICTION (Resonance)
2025.47      | BARYON     | 13   | Spinor (-0.5)   | 2.4e-11      | PREDICTION (Stable)
2030.73      | MESON      | 29   | Perfect (0)     | STABLE       | PREDICTION (Stable)
2032.88      | BARYON     | 13   | Perfect (0)     | STABLE       | PREDICTION (Stable)
2038.14      | MESON      | 29   | Spinor (+0.5)   | 4.3e-16      | PREDICTION (Resonance)
2040.30      | BARYON     | 13   | Spinor (+0.5)   | 2.4e-11      | PREDICTION (Stable)
2045.55      | MESON      | 29   | Vector (+1.0)   | 2.1e-16      | PREDICTION (Resonance)
2047.72      | BARYON     | 13   | Vector (+1.0)   | 1.2e-11      | PREDICTION (Stable)
2060.37      | MESON      | 29   | Sphere (+2.0)   | 1.1e-16      | PREDICTION (Resonance)
2062.55      | BARYON     | 13   | Sphere (+2.0)   | 6.0e-12      | PREDICTION (Stable)
2067.13      | LEPTON     | 20   | Vector (-1.0)   | 1.4e-12      | PREDICTION (Stable)
2074.73      | LEPTON     | 20   | Spinor (-0.5)   | 2.7e-12      | PREDICTION (Stable)
2082.33      | LEPTON     | 20   | Perfect (0)     | STABLE       | PREDICTION (Stable)
2089.92      | LEPTON     | 20   | Spinor (+0.5)   | 2.7e-12      | PREDICTION (Stable)
2097.52      | LEPTON     | 20   | Vector (+1.0)   | 1.4e-12      | PREDICTION (Stable)
2100.76      | MESON      | 30   | Perfect (0)     | STABLE       | PREDICTION (Stable)
2139.10      | MESON      | 31   | Sphere (-2.0)   | 7.7e-17      | PREDICTION (Resonance)
2154.94      | MESON      | 31   | Vector (-1.0)   | 1.5e-16      | PREDICTION (Resonance)
2157.31      | BARYON     | 14   | Sphere (-2.0)   | 4.1e-12      | PREDICTION (Stable)
2162.86      | MESON      | 31   | Spinor (-0.5)   | 3.1e-16      | PREDICTION (Resonance)
2170.49      | LEPTON     | 21   | Vector (-1.0)   | 1.1e-12      | PREDICTION (Stable)
2170.78      | MESON      | 31   | Perfect (0)     | STABLE       | PREDICTION (Stable)
2173.28      | BARYON     | 14   | Vector (-1.0)   | 8.1e-12      | PREDICTION (Stable)
2178.46      | LEPTON     | 21   | Spinor (-0.5)   | 2.1e-12      | PREDICTION (Stable)
2178.70      | MESON      | 31   | Spinor (+0.5)   | 3.1e-16      | PREDICTION (Resonance)
2181.27      | BARYON     | 14   | Spinor (-0.5)   | 1.6e-11      | PREDICTION (Stable)
2186.44      | LEPTON     | 21   | Perfect (0)     | STABLE       | PREDICTION (Stable)
2186.62      | MESON      | 31   | Vector (+1.0)   | 1.5e-16      | PREDICTION (Resonance)
2189.26      | BARYON     | 14   | Perfect (0)     | STABLE       | PREDICTION (Stable)
2194.42      | LEPTON     | 21   | Spinor (+0.5)   | 2.1e-12      | PREDICTION (Stable)
2197.25      | BARYON     | 14   | Spinor (+0.5)   | 1.6e-11      | PREDICTION (Stable)
2202.40      | LEPTON     | 21   | Vector (+1.0)   | 1.1e-12      | PREDICTION (Stable)
2202.46      | MESON      | 31   | Sphere (+2.0)   | 7.8e-17      | PREDICTION (Resonance)
2205.24      | BARYON     | 14   | Vector (+1.0)   | 8.2e-12      | PREDICTION (Stable)
2221.21      | BARYON     | 14   | Sphere (+2.0)   | 4.1e-12      | PREDICTION (Stable)
2240.81      | MESON      | 32   | Perfect (0)     | STABLE       | PREDICTION (Stable)
2282.20      | LEPTON     | 22   | Spinor (-0.5)   | 1.7e-12      | PREDICTION (Stable)
2290.56      | LEPTON     | 22   | Perfect (0)     | STABLE       | PREDICTION (Stable)
2298.92      | LEPTON     | 22   | Spinor (+0.5)   | 1.7e-12      | PREDICTION (Stable)
2310.83      | MESON      | 33   | Perfect (0)     | STABLE       | PREDICTION (Stable)
2311.40      | BARYON     | 15   | Sphere (-2.0)   | 2.9e-12      | PREDICTION (Stable)
2328.52      | BARYON     | 15   | Vector (-1.0)   | 5.8e-12      | PREDICTION (Stable)
2337.08      | BARYON     | 15   | Spinor (-0.5)   | 1.2e-11      | PREDICTION (Stable)
2345.64      | BARYON     | 15   | Perfect (0)     | STABLE       | PREDICTION (Stable)
2354.19      | BARYON     | 15   | Spinor (+0.5)   | 1.2e-11      | PREDICTION (Stable)
2359.73      | LEPTON     | 23   | Sphere (-2.0)   | 3.4e-13      | PREDICTION (Resonance)
2362.75      | BARYON     | 15   | Vector (+1.0)   | 5.8e-12      | PREDICTION (Stable)
2377.20      | LEPTON     | 23   | Vector (-1.0)   | 6.8e-13      | PREDICTION (Resonance)
2379.87      | BARYON     | 15   | Sphere (+2.0)   | 2.9e-12      | PREDICTION (Stable)
2380.86      | MESON      | 34   | Perfect (0)     | STABLE       | PREDICTION (Stable)
2385.94      | LEPTON     | 23   | Spinor (-0.5)   | 1.4e-12      | PREDICTION (Stable)
2394.68      | LEPTON     | 23   | Perfect (0)     | STABLE       | PREDICTION (Stable)
2403.41      | LEPTON     | 23   | Spinor (+0.5)   | 1.4e-12      | PREDICTION (Stable)
2412.15      | LEPTON     | 23   | Vector (+1.0)   | 6.8e-13      | PREDICTION (Resonance)
2429.62      | LEPTON     | 23   | Sphere (+2.0)   | 3.5e-13      | PREDICTION (Resonance)
2450.88      | MESON      | 35   | Perfect (0)     | STABLE       | PREDICTION (Stable)
2465.50      | BARYON     | 16   | Sphere (-2.0)   | 2.1e-12      | PREDICTION (Stable)
2483.75      | BARYON     | 16   | Vector (-1.0)   | 4.2e-12      | PREDICTION (Stable)
2489.67      | LEPTON     | 24   | Spinor (-0.5)   | 1.1e-12      | PREDICTION (Stable)
2492.88      | BARYON     | 16   | Spinor (-0.5)   | 8.3e-12      | PREDICTION (Stable)
2498.79      | LEPTON     | 24   | Perfect (0)     | STABLE       | PREDICTION (Stable)
2502.01      | BARYON     | 16   | Perfect (0)     | STABLE       | PREDICTION (Stable)
2507.91      | LEPTON     | 24   | Spinor (+0.5)   | 1.1e-12      | PREDICTION (Stable)
2511.14      | BARYON     | 16   | Spinor (+0.5)   | 8.4e-12      | PREDICTION (Stable)
2520.27      | BARYON     | 16   | Vector (+1.0)   | 4.2e-12      | PREDICTION (Stable)
2520.91      | MESON      | 36   | Perfect (0)     | STABLE       | PREDICTION (Stable)
2538.53      | BARYON     | 16   | Sphere (+2.0)   | 2.1e-12      | PREDICTION (Stable)
2553.12      | MESON      | 37   | Sphere (-2.0)   | 3.2e-17      | PREDICTION (Resonance)
2572.03      | MESON      | 37   | Vector (-1.0)   | 6.3e-17      | PREDICTION (Resonance)
2581.48      | MESON      | 37   | Spinor (-0.5)   | 1.3e-16      | PREDICTION (Resonance)
2590.93      | MESON      | 37   | Perfect (0)     | STABLE       | PREDICTION (Stable)
2600.39      | MESON      | 37   | Spinor (+0.5)   | 1.3e-16      | PREDICTION (Resonance)
2602.91      | LEPTON     | 25   | Perfect (0)     | STABLE       | PREDICTION (Stable)
2609.84      | MESON      | 37   | Vector (+1.0)   | 6.4e-17      | PREDICTION (Resonance)
2619.59      | BARYON     | 17   | Sphere (-2.0)   | 1.5e-12      | PREDICTION (Stable)
2628.75      | MESON      | 37   | Sphere (+2.0)   | 3.2e-17      | PREDICTION (Resonance)
2638.99      | BARYON     | 17   | Vector (-1.0)   | 3.1e-12      | PREDICTION (Stable)
2648.69      | BARYON     | 17   | Spinor (-0.5)   | 6.2e-12      | PREDICTION (Stable)
2658.39      | BARYON     | 17   | Perfect (0)     | STABLE       | PREDICTION (Stable)
2660.96      | MESON      | 38   | Perfect (0)     | STABLE       | PREDICTION (Stable)
2668.09      | BARYON     | 17   | Spinor (+0.5)   | 6.2e-12      | PREDICTION (Stable)
2677.79      | BARYON     | 17   | Vector (+1.0)   | 3.1e-12      | PREDICTION (Stable)
2697.19      | BARYON     | 17   | Sphere (+2.0)   | 1.6e-12      | PREDICTION (Stable)
2707.02      | LEPTON     | 26   | Perfect (0)     | STABLE       | PREDICTION (Stable)
2730.98      | MESON      | 39   | Perfect (0)     | STABLE       | PREDICTION (Stable)
2773.68      | BARYON     | 18   | Sphere (-2.0)   | 1.2e-12      | PREDICTION (Stable)
2794.22      | BARYON     | 18   | Vector (-1.0)   | 2.3e-12      | PREDICTION (Stable)
2801.01      | MESON      | 40   | Perfect (0)     | STABLE       | PREDICTION (Stable)
2804.49      | BARYON     | 18   | Spinor (-0.5)   | 4.6e-12      | PREDICTION (Stable)
2811.14      | LEPTON     | 27   | Perfect (0)     | STABLE       | PREDICTION (Stable)
2814.76      | BARYON     | 18   | Perfect (0)     | STABLE       | PREDICTION (Stable)
2825.03      | BARYON     | 18   | Spinor (+0.5)   | 4.6e-12      | PREDICTION (Stable)
2829.13      | MESON      | 41   | Sphere (-2.0)   | 1.9e-17      | PREDICTION (Resonance)
2835.30      | BARYON     | 18   | Vector (+1.0)   | 2.3e-12      | PREDICTION (Stable)
2850.08      | MESON      | 41   | Vector (-1.0)   | 3.8e-17      | PREDICTION (Resonance)
2855.84      | BARYON     | 18   | Sphere (+2.0)   | 1.2e-12      | PREDICTION (Stable)
2860.56      | MESON      | 41   | Spinor (-0.5)   | 7.5e-17      | PREDICTION (Resonance)
2871.04      | MESON      | 41   | Perfect (0)     | STABLE       | PREDICTION (Stable)
2881.51      | MESON      | 41   | Spinor (+0.5)   | 7.6e-17      | PREDICTION (Resonance)
2891.99      | MESON      | 41   | Vector (+1.0)   | 3.8e-17      | PREDICTION (Resonance)
2912.94      | MESON      | 41   | Sphere (+2.0)   | 1.9e-17      | PREDICTION (Resonance)
2915.26      | LEPTON     | 28   | Perfect (0)     | STABLE       | PREDICTION (Stable)
2927.78      | BARYON     | 19   | Sphere (-2.0)   | 8.9e-13      | PREDICTION (Resonance)
2941.06      | MESON      | 42   | Perfect (0)     | STABLE       | PREDICTION (Stable)
2949.46      | BARYON     | 19   | Vector (-1.0)   | 1.8e-12      | PREDICTION (Stable)
2960.30      | BARYON     | 19   | Spinor (-0.5)   | 3.5e-12      | PREDICTION (Stable)
2967.14      | MESON      | 43   | Sphere (-2.0)   | 1.5e-17      | PREDICTION (Resonance)
2971.14      | BARYON     | 19   | Perfect (0)     | STABLE       | PREDICTION (Stable)
2975.31      | LEPTON     | 29   | Sphere (-2.0)   | 1.1e-13      | PREDICTION (Resonance)
2981.98      | BARYON     | 19   | Spinor (+0.5)   | 3.5e-12      | PREDICTION (Stable)
2989.11      | MESON      | 43   | Vector (-1.0)   | 3.0e-17      | PREDICTION (Resonance)
2992.82      | BARYON     | 19   | Vector (+1.0)   | 1.8e-12      | PREDICTION (Stable)
2997.34      | LEPTON     | 29   | Vector (-1.0)   | 2.1e-13      | PREDICTION (Resonance)
3000.10      | MESON      | 43   | Spinor (-0.5)   | 5.9e-17      | PREDICTION (Resonance)
3008.36      | LEPTON     | 29   | Spinor (-0.5)   | 4.3e-13      | PREDICTION (Resonance)
3011.09      | MESON      | 43   | Perfect (0)     | STABLE       | PREDICTION (Stable)
3014.50      | BARYON     | 19   | Sphere (+2.0)   | 9.0e-13      | PREDICTION (Resonance)
3019.37      | LEPTON     | 29   | Perfect (0)     | STABLE       | PREDICTION (Stable)
3022.07      | MESON      | 43   | Spinor (+0.5)   | 6.0e-17      | PREDICTION (Resonance)
3030.39      | LEPTON     | 29   | Spinor (+0.5)   | 4.3e-13      | PREDICTION (Resonance)
3033.06      | MESON      | 43   | Vector (+1.0)   | 3.0e-17      | PREDICTION (Resonance)
3041.41      | LEPTON     | 29   | Vector (+1.0)   | 2.1e-13      | PREDICTION (Resonance)
3055.03      | MESON      | 43   | Sphere (+2.0)   | 1.5e-17      | CONFIRMED [J/Psi]
3058.63      | MESON      | 44   | Vector (-1.0)   | 2.7e-17      | CONFIRMED [J/Psi]
3063.44      | LEPTON     | 29   | Sphere (+2.0)   | 1.1e-13      | CONFIRMED [J/Psi]
3069.87      | MESON      | 44   | Spinor (-0.5)   | 5.3e-17      | CONFIRMED [J/Psi]
3077.90      | LEPTON     | 30   | Sphere (-2.0)   | 9.0e-14      | CONFIRMED [J/Psi]
3081.11      | MESON      | 44   | Perfect (0)     | STABLE       | CONFIRMED [J/Psi]
3081.87      | BARYON     | 20   | Sphere (-2.0)   | 6.9e-13      | CONFIRMED [J/Psi]
3092.35      | MESON      | 44   | Spinor (+0.5)   | 5.3e-17      | CONFIRMED [J/Psi]
3100.70      | LEPTON     | 30   | Vector (-1.0)   | 1.8e-13      | CONFIRMED [J/Psi]
3103.60      | MESON      | 44   | Vector (+1.0)   | 2.7e-17      | CONFIRMED [J/Psi]
3104.69      | BARYON     | 20   | Vector (-1.0)   | 1.4e-12      | CONFIRMED [J/Psi]
3105.15      | MESON      | 45   | Sphere (-2.0)   | 1.2e-17      | CONFIRMED [J/Psi]
3112.09      | LEPTON     | 30   | Spinor (-0.5)   | 3.6e-13      | CONFIRMED [J/Psi]
3116.10      | BARYON     | 20   | Spinor (-0.5)   | 2.7e-12      | CONFIRMED [J/Psi]
3123.49      | LEPTON     | 30   | Perfect (0)     | STABLE       | CONFIRMED [J/Psi]
3126.08      | MESON      | 44   | Sphere (+2.0)   | 1.4e-17      | CONFIRMED [J/Psi]
3127.51      | BARYON     | 20   | Perfect (0)     | STABLE       | CONFIRMED [J/Psi]
3128.14      | MESON      | 45   | Vector (-1.0)   | 2.4e-17      | CONFIRMED [J/Psi]
3134.89      | LEPTON     | 30   | Spinor (+0.5)   | 3.6e-13      | CONFIRMED [J/Psi]
3138.93      | BARYON     | 20   | Spinor (+0.5)   | 2.7e-12      | CONFIRMED [J/Psi]
3139.64      | MESON      | 45   | Spinor (-0.5)   | 4.7e-17      | CONFIRMED [J/Psi]
3150.34      | BARYON     | 20   | Vector (+1.0)   | 1.4e-12      | PREDICTION (Stable)
3151.14      | MESON      | 45   | Perfect (0)     | STABLE       | PREDICTION (Stable)
3180.50      | LEPTON     | 31   | Sphere (-2.0)   | 7.7e-14      | PREDICTION (Resonance)
3204.05      | LEPTON     | 31   | Vector (-1.0)   | 1.5e-13      | PREDICTION (Resonance)
3215.83      | LEPTON     | 31   | Spinor (-0.5)   | 3.1e-13      | PREDICTION (Resonance)
3221.16      | MESON      | 46   | Perfect (0)     | STABLE       | PREDICTION (Stable)
3227.61      | LEPTON     | 31   | Perfect (0)     | STABLE       | PREDICTION (Stable)
3239.38      | LEPTON     | 31   | Spinor (+0.5)   | 3.1e-13      | PREDICTION (Resonance)
3243.15      | MESON      | 47   | Sphere (-2.0)   | 9.6e-18      | PREDICTION (Resonance)
3251.16      | LEPTON     | 31   | Vector (+1.0)   | 1.5e-13      | PREDICTION (Resonance)
3259.93      | BARYON     | 21   | Vector (-1.0)   | 1.1e-12      | PREDICTION (Stable)
3267.17      | MESON      | 47   | Vector (-1.0)   | 1.9e-17      | PREDICTION (Resonance)
3271.91      | BARYON     | 21   | Spinor (-0.5)   | 2.1e-12      | PREDICTION (Stable)
3274.71      | LEPTON     | 31   | Sphere (+2.0)   | 7.8e-14      | PREDICTION (Resonance)
3279.18      | MESON      | 47   | Spinor (-0.5)   | 3.8e-17      | PREDICTION (Resonance)
3283.89      | BARYON     | 21   | Perfect (0)     | STABLE       | PREDICTION (Stable)
3291.19      | MESON      | 47   | Perfect (0)     | STABLE       | PREDICTION (Stable)
3295.87      | BARYON     | 21   | Spinor (+0.5)   | 2.1e-12      | PREDICTION (Stable)
3303.20      | MESON      | 47   | Spinor (+0.5)   | 3.8e-17      | PREDICTION (Resonance)
3307.85      | BARYON     | 21   | Vector (+1.0)   | 1.1e-12      | PREDICTION (Stable)
3315.20      | MESON      | 47   | Vector (+1.0)   | 1.9e-17      | PREDICTION (Resonance)
3331.72      | LEPTON     | 32   | Perfect (0)     | STABLE       | PREDICTION (Stable)
3339.22      | MESON      | 47   | Sphere (+2.0)   | 9.7e-18      | PREDICTION (Resonance)
3361.21      | MESON      | 48   | Perfect (0)     | STABLE       | PREDICTION (Stable)
3427.71      | BARYON     | 22   | Spinor (-0.5)   | 1.7e-12      | PREDICTION (Stable)
3431.24      | MESON      | 49   | Perfect (0)     | STABLE       | PREDICTION (Stable)
3435.84      | LEPTON     | 33   | Perfect (0)     | STABLE       | PREDICTION (Stable)
3440.27      | BARYON     | 22   | Perfect (0)     | STABLE       | PREDICTION (Stable)
3452.82      | BARYON     | 22   | Spinor (+0.5)   | 1.7e-12      | PREDICTION (Stable)
3501.26      | MESON      | 50   | Perfect (0)     | STABLE       | PREDICTION (Stable)
3539.95      | LEPTON     | 34   | Perfect (0)     | STABLE       | PREDICTION (Stable)
3544.15      | BARYON     | 23   | Sphere (-2.0)   | 3.4e-13      | PREDICTION (Resonance)
3570.40      | BARYON     | 23   | Vector (-1.0)   | 6.8e-13      | PREDICTION (Resonance)
3571.29      | MESON      | 51   | Perfect (0)     | STABLE       | PREDICTION (Stable)
3583.52      | BARYON     | 23   | Spinor (-0.5)   | 1.4e-12      | PREDICTION (Stable)
