Theory_MeV,Scale_Type,k_Node,Is_Prime,Stability_Score,Status,Match_Name,Error_Percent
3644.0710,LEPTON (N),35,False,30,CONFIRMED,Psi(2S),1.1506
3711.3383,MESON (A^-1),53,True,70,CONFIRMED,Psi(2S),0.6827
3748.1873,LEPTON (N),36,False,30,CONFIRMED,Psi(2S),1.6591
3753.0177,BARYON (Pi^5),24,False,60,CONFIRMED,Psi(2S),1.7857
3781.3636,MESON (A^-1),54,False,40,NOISE,,
3851.3888,MESON (A^-1),55,False,40,NOISE,,
3852.3037,LEPTON (N),37,True,60,RESONANCE,,
3909.3934,BARYON (Pi^5),25,False,60,RESONANCE,,
3921.4141,MESON (A^-1),56,False,40,NOISE,,
3956.4200,LEPTON (N),38,False,30,NOISE,,
3991.4393,MESON (A^-1),57,False,40,NOISE,,
4060.5363,LEPTON (N),39,False,30,NOISE,,
4061.4646,MESON (A^-1),58,False,40,NOISE,,
4065.7692,BARYON (Pi^5),26,False,60,RESONANCE,,
4131.4898,MESON (A^-1),59,True,70,PREDICTION,,
4164.6526,LEPTON (N),40,False,30,NOISE,,
4201.5151,MESON (A^-1),60,False,40,NOISE,,
4222.1449,BARYON (Pi^5),27,False,60,RESONANCE,,
4268.7689,LEPTON (N),41,True,60,RESONANCE,,
4271.5404,MESON (A^-1),61,True,70,PREDICTION,,
4341.5656,MESON (A^-1),62,False,40,CONFIRMED,Z(4430) Tetraquark,2.0369
4372.8852,LEPTON (N),42,False,30,CONFIRMED,Z(4430) Tetraquark,1.3061
4378.5207,BARYON (Pi^5),28,False,60,CONFIRMED,Z(4430) Tetraquark,1.1757
4411.5909,MESON (A^-1),63,False,40,CONFIRMED,Z(4430) Tetraquark,0.4173
4477.0015,LEPTON (N),43,True,60,CONFIRMED,Z(4430) Tetraquark,1.0498
4481.6161,MESON (A^-1),64,False,40,CONFIRMED,Z(4430) Tetraquark,1.1517
